"candidate_number","coalition_proportional","alliance_proportional"
112,34.53571,33.5
113,14.43284,14.10526
114,74.38462,67
115,9.48039,8.375
116,46.04762,44.66667
117,8.4087,7.05263
118,13.81429,13.4
119,13.06757,12.7619
120,10.17895,9.24138
121,12.55844,12.18182
122,7.43846,5.46939
123,7.99174,6.53659
124,10.98864,10.30769
125,8.79091,7.44444
126,10.62637,9.92593
127,7.61417,5.82609
128,40.29167,38.28571
129,483.5,268
130,60.4375,53.6
131,7.79839,6.23256
132,9.96907,8.93333
133,8.55752,7.24324
134,19.73469,19.14286
135,7.55469,5.70213
136,12.24051,11.65217
137,11.79268,11.16667
138,25.44737,24.36364
139,10.39785,9.57143
140,8.26496,6.87179
141,8.12605,6.7
142,9.29808,8.12121
143,7.86179,6.38095
144,15.10938,14.88889
145,161.16667,134
146,9.12264,7.88235
147,11.5119,10.72
148,16.96491,16.75
149,9.67,8.64516
150,8.9537,7.65714
151,43.95455,40
152,35.81481,34.28571
153,16.67241,16
154,64.46667,60
155,24.79487,24
156,17.58182,17.14286
157,87.90909,80
158,13.43056,13.33333
159,14.65152,14.11765
160,20.57447,20
161,22.48837,21.81818
162,138.14286,120
163,53.72222,48
164,32.23333,30
165,322.33333,240
166,26.86111,26.66667
167,15.34921,15
168,18.96078,18.46154
169,15.85246,15.44444
170,14.01449,13.9
171,193.4,139
172,20.14583,19.85714
173,50.89474,46.33333
174,37.19231,34.75
175,11.37647,10.69231
176,17.90741,17.375
177,80.58333,69.5
178,29.30303,27.8
179,10.74444,9.92857
180,24.175,23.16667
181,12.89333,12.63636
182,12.0875,11.58333
183,27.75,25.83333
184,20.55556,19.375
185,23.125,22.14286
186,34.6875,31
187,42.69231,38.75
188,92.5,77.5
189,61.66667,51.66667
190,185,155
191,15.41667,13
192,13.53659,9.94118
193,13.875,10.5625
194,18.5,16.9
195,277.5,169
196,22.2,21.125
197,37,33.8
198,15,12.07143
199,26.42857,24.14286
200,16.81818,15.36364
201,30.83333,28.16667
202,13.21429,9.38889
203,69.375,56.33333
204,19.82143,18.77778
205,111,84.5
206,15.85714,14.08333
207,14.23077,11.26667
208,46.25,42.25
209,21.34615,20.44444
210,555,184
211,138.75,92
212,50.45455,46
213,16.32353,15.33333
214,32.64706,30.66667
215,17.90323,16.72727
216,79.28571,61.33333
217,29.21053,26.28571
218,19.13793,18.4
219,24.13043,23
220,39.64286,36.8
221,17.34375,15.66667
222,25.22727,23.5
223,14.60526,11.75
224,55.5,47
225,6.5,6.5
226,4.33333,4.33333
227,13,13
228,340.5,281.5
229,97.28571,93.83333
230,19.45714,14.4359
231,22.7,19.41379
232,19.1831,14.075
233,19.73913,14.81579
234,25.69811,22.52
235,123.81818,112.6
236,52.38462,51.18182
237,48.64286,46.91667
238,24.76364,21.65385
239,1362,563
240,20.32836,15.63889
241,34.05,33.11765
