--ARVONTATAPA
tamy

--PAIKKOJA
#Edustajiston paikkamäärä
60

--RENKAAT
# renkaan numero, nimi, tunnus
1,Pelastusrengas,Pelast
2,Svenska Nationer och Ämnesföreningar (SNÄf),SNÄf
3,HELP,HELP
4,Maailmanpyörä,MP
5,Osakuntien suuri vaalirengas,Osak
6,Ainejärjestöjen vaalirengas,HYAL

--LIITOT
# liiton numero, renkaan numero, nimi, lyhenne
1,0,Akateemiset piraatit,Pirate
2,0,Tsemppi Group,Tsempp
3,0,Opiskelijademarit,OSY
4,1,Kokoomusopiskelijat 1,Kok1
5,1,Kokoomusopiskelijat 2,Kok2
6,1,Keskeiset,Kesk
7,1,KD Helsingin Opiskelijat,KD
8,2,Codex-Thorax,CodTho
9,2,Nationerna,Nation
10,2,StudOrg,StudO
11,2,Ämnesföreningarna,Ämnesf
12,0,Liberaalinen vaaliliitto - Yksilönvapauden puolesta,Liberal
13,3,Pykälä,Pykälä
14,3,LKS/HLKS,LKSHLKS
15,3,EKY,EKY
16,0,Perussuomalainen vaaliliitto,Peruss
17,4,Sitoutumaton vasemmisto - Obunden vänster - Independent left,SitVas
18,4,HYYn Vihreät - De Gröna vid HUS,HyVi
19,5,ESO,ESO
20,5,SavO,SavO
21,5,HO-Natura,HO-Nat
22,5,KSO-VSO,KSOVSO
23,5,SatO-ESO2,SatESO
24,5,Domus Gaudiumin Osakunnat,DG
25,5,EPO,EPO
26,5,PPO,PPO
27,6,Humanistit,Humani
28,6,Kumpula,Kumpula
29,6,Käyttis,Käyttis
30,6,Teologit,Teolog
31,6,Valtiotieteilijät,Valtio
32,6,Viikki,Viikki
33,0,Vaaliliittoon kuulumaton ehdokas,ITE



--EHDOKKAAT
#ehdokkaan numero, liiton numero, nimi,0
364, 17, Vähäpassi Emmi, 14; 2,0,0
365, 17, Ylä-Anttila Tuukka, 36; 0,0,0
366, 18, Alanko Vilja, 25; 3,0,0
367, 18, Ekqvist Mikko, 30; 0,0,0
368, 18, Forselius Anni, 10; 3,0,0
369, 18, Hannula Anssi, 18; 1,0,0
370, 18, Hausen Maija, 46; 0,0,0
371, 18, Henttonen Riikka, 35; 0,0,0
372, 18, Holst Alexander, 2; 2,0,0
373, 18, Hulkkonen Ville, 8; 2,0,0
374, 18, Häkkinen Aaro, 32; 0,0,0
375, 18, Härkönen Jehki, 37; 0,0,0
376, 18, Jahkola Lauri, 17; 2,0,0
377, 18, Jauhiainen Ilmari, 2; 4,0,0
378, 18, Kaijalainen Olga, 2; 1,0,0
379, 18, Kantola Annika, 19; 0,0,0
380, 18, Kari Emma, 78; 0,0,0
381, 18, Karhu Riikka, 14; 2,0,0
382, 18, Keski-Hakuni Laura, 38; 0,0,0
383, 18, Kiesiläinen Jaana, 16; 0,0,0
384, 18, Kirjasniemi Janne, 3; 2,0,0
385, 18, Kiuru Antti, 5; 0,0,0
386, 18, Koljonen Markus, 7; 1,0,0
387, 18, Korhonen Kaarina, 15; 0,0,0
388, 18, Kortteinen Lotta, 26; 0,0,0
389, 18, Korvela Tiina, 3; 1,0,0
390, 18, Koskinen Anna, 21; 0,0,0
391, 18, Kulhia Jaakko, 13; 2,0,0
392, 18, Laakso Senja, 25; 1,0,0
393, 18, Lehtonen Jenni, 29; 0,0,0
394, 18, Lewis Oliver, 20; 1,0,0
395, 18, Lindfors Jaakko, 7; 4,0,0
396, 18, Lindström Jon, 14; 1,0,0
397, 18, Lindström Mikko, 7; 5,0,0
398, 18, Mankki Sarianna, 12; 1,0,0
399, 18, Marttinen Jukka, 2; 6,0,0
400, 18, McKeough Helena, 20; 2,0,0
401, 18, Muuttomaa Viljami, 17; 3,0,0
402, 18, Mynttinen Laura, 8; 1,0,0
403, 18, Mörtengren Daniela, 8; 3,0,0
404, 18, Ohisalo Maria, 10; 4,0,0
405, 18, Perälä Erkki, 18; 2,0,0
406, 18, Piiparinen Niklas, 17; 1,0,0
407, 18, Pusa Satu, 41; 0,0,0
408, 18, Raittila Simo, 6; 1,0,0
409, 18, Rentola Joonas, 7; 2,0,0
410, 18, R Farag Jamila, 6; 2,0,0
411, 18, Rinkineva Suvi, 11; 0,0,0
412, 18, Räisänen Hanna, 4; 0,0,0
413, 18, Salovaara Antti, 10; 2,0,0
414, 18, Saxen Niklas, 1; 0,0,0
415, 18, Silkelä Elina, 9; 1,0,0
416, 18, Sjövall Anna, 24; 0,0,0
417, 18, Sulander Essi, 2; 3,0,0
418, 18, Tulenheimo Martti, 25; 2,0,0
419, 18, Tuure Tuomas, 110; 0,0,0
