"id","voting_area_id","candidate_id","amount","created_at","updated_at","fixed_amount"
178,1,178,4,"2018-11-02 11:42:11.293073","2018-11-02 11:42:11.293073",
179,1,179,9,"2018-11-02 11:42:11.29741","2018-11-02 11:42:11.29741",
180,1,180,6,"2018-11-02 11:42:11.301648","2018-11-02 11:42:11.301648",
181,1,181,6,"2018-11-02 11:42:11.306293","2018-11-02 11:42:11.306293",
182,1,182,10,"2018-11-02 11:42:11.310513","2018-11-02 11:42:11.310513",
183,1,183,3,"2018-11-02 11:42:11.315006","2018-11-02 11:42:11.315006",
184,1,184,5,"2018-11-02 11:42:11.319601","2018-11-02 11:42:11.319601",
185,1,185,10,"2018-11-02 11:42:11.324021","2018-11-02 11:42:11.324021",
186,1,186,10,"2018-11-02 11:42:11.329992","2018-11-02 11:42:11.329992",
187,1,187,41,"2018-11-02 11:42:11.334479","2018-11-02 11:42:11.334479",
188,1,188,30,"2018-11-02 11:42:11.338967","2018-11-02 11:42:11.338967",
189,1,189,46,"2018-11-02 11:42:11.344883","2018-11-02 11:42:11.344883",
190,1,190,5,"2018-11-02 11:42:11.34949","2018-11-02 11:42:11.34949",
191,1,191,2,"2018-11-02 11:42:11.353787","2018-11-02 11:42:11.353787",
192,1,192,2,"2018-11-02 11:42:11.357912","2018-11-02 11:42:11.357912",
193,1,193,7,"2018-11-02 11:42:11.362476","2018-11-02 11:42:11.362476",
194,1,194,21,"2018-11-02 11:42:11.366926","2018-11-02 11:42:11.366926",
195,1,195,7,"2018-11-02 11:42:11.371148","2018-11-02 11:42:11.371148",
196,1,196,15,"2018-11-02 11:42:11.375481","2018-11-02 11:42:11.375481",
197,1,197,5,"2018-11-02 11:42:11.37976","2018-11-02 11:42:11.37976",
198,1,198,11,"2018-11-02 11:42:11.3844","2018-11-02 11:42:11.3844",
199,1,199,6,"2018-11-02 11:42:11.38887","2018-11-02 11:42:11.38887",
200,1,200,14,"2018-11-02 11:42:11.392834","2018-11-02 11:42:11.392834",
201,1,201,2,"2018-11-02 11:42:11.397055","2018-11-02 11:42:11.397055",
202,1,202,19,"2018-11-02 11:42:11.401192","2018-11-02 11:42:11.401192",
203,1,203,7,"2018-11-02 11:42:11.405041","2018-11-02 11:42:11.405041",
204,1,204,20,"2018-11-02 11:42:11.408743","2018-11-02 11:42:11.408743",
205,1,205,6,"2018-11-02 11:42:11.41247","2018-11-02 11:42:11.41247",
206,1,206,4,"2018-11-02 11:42:11.416506","2018-11-02 11:42:11.416506",
207,1,207,16,"2018-11-02 11:42:11.420641","2018-11-02 11:42:11.420641",
208,1,208,5,"2018-11-02 11:42:11.424897","2018-11-02 11:42:11.424897",
209,1,209,54,"2018-11-02 11:42:11.428833","2018-11-02 11:42:11.428833",
210,1,210,36,"2018-11-02 11:42:11.433093","2018-11-02 11:42:11.433093",
211,1,211,18,"2018-11-02 11:42:11.437004","2018-11-02 11:42:11.437004",
212,1,212,2,"2018-11-02 11:42:11.441259","2018-11-02 11:42:11.441259",
213,1,213,11,"2018-11-02 11:42:11.445427","2018-11-02 11:42:11.445427",
214,1,214,4,"2018-11-02 11:42:11.449378","2018-11-02 11:42:11.449378",
215,1,215,20,"2018-11-02 11:42:11.453353","2018-11-02 11:42:11.453353",
216,1,216,9,"2018-11-02 11:42:11.457262","2018-11-02 11:42:11.457262",
217,1,217,5,"2018-11-02 11:42:11.461368","2018-11-02 11:42:11.461368",
218,1,218,8,"2018-11-02 11:42:11.465643","2018-11-02 11:42:11.465643",
219,1,219,12,"2018-11-02 11:42:11.469626","2018-11-02 11:42:11.469626",
220,1,220,6,"2018-11-02 11:42:11.473703","2018-11-02 11:42:11.473703",
221,1,221,11,"2018-11-02 11:42:11.477868","2018-11-02 11:42:11.477868",
222,1,222,2,"2018-11-02 11:42:11.482336","2018-11-02 11:42:11.482336",
223,1,223,28,"2018-11-02 11:42:11.486887","2018-11-02 11:42:11.486887",
224,1,224,4,"2018-11-02 11:42:11.491342","2018-11-02 11:42:11.491342",
225,1,225,2,"2018-11-02 11:42:11.495645","2018-11-02 11:42:11.495645",
226,1,226,7,"2018-11-02 11:42:11.500114","2018-11-02 11:42:11.500114",
227,1,227,79,"2018-11-02 11:42:11.504446","2018-11-02 11:42:11.504446",
228,1,228,24,"2018-11-02 11:42:11.508553","2018-11-02 11:42:11.508553",
229,1,229,3,"2018-11-02 11:42:11.512572","2018-11-02 11:42:11.512572",
230,1,230,6,"2018-11-02 11:42:11.517112","2018-11-02 11:42:11.517112",
231,1,231,3,"2018-11-02 11:42:11.521382","2018-11-02 11:42:11.521382",
232,1,232,4,"2018-11-02 11:42:11.525543","2018-11-02 11:42:11.525543",
233,1,233,7,"2018-11-02 11:42:11.529411","2018-11-02 11:42:11.529411",
234,1,234,24,"2018-11-02 11:42:11.533408","2018-11-02 11:42:11.533408",
235,1,235,13,"2018-11-02 11:42:11.537636","2018-11-02 11:42:11.537636",
236,1,236,12,"2018-11-02 11:42:11.541863","2018-11-02 11:42:11.541863",
237,1,237,6,"2018-11-02 11:42:11.545767","2018-11-02 11:42:11.545767",
238,1,238,80,"2018-11-02 11:42:11.549674","2018-11-02 11:42:11.549674",
239,1,239,4,"2018-11-02 11:42:11.553627","2018-11-02 11:42:11.553627",
240,1,240,9,"2018-11-02 11:42:11.557733","2018-11-02 11:42:11.557733",
241,1,241,8,"2018-11-02 11:42:11.562049","2018-11-02 11:42:11.562049",
242,1,242,10,"2018-11-02 11:42:11.566095","2018-11-02 11:42:11.566095",
243,1,243,5,"2018-11-02 11:42:11.570526","2018-11-02 11:42:11.570526",
244,1,244,9,"2018-11-02 11:42:11.574936","2018-11-02 11:42:11.574936",
245,1,245,6,"2018-11-02 11:42:11.579518","2018-11-02 11:42:11.579518",
246,1,246,6,"2018-11-02 11:42:11.584045","2018-11-02 11:42:11.584045",
247,1,247,6,"2018-11-02 11:42:11.58844","2018-11-02 11:42:11.58844",
248,1,248,9,"2018-11-02 11:42:11.59285","2018-11-02 11:42:11.59285",
249,1,249,8,"2018-11-02 11:42:11.596983","2018-11-02 11:42:11.596983",
250,1,250,1,"2018-11-02 11:42:11.601377","2018-11-02 11:42:11.601377",
251,1,251,8,"2018-11-02 11:42:11.605991","2018-11-02 11:42:11.605991",
252,1,252,30,"2018-11-02 11:42:11.610261","2018-11-02 11:42:11.610261",
253,1,253,1,"2018-11-02 11:42:11.614601","2018-11-02 11:42:11.614601",
254,1,254,5,"2018-11-02 11:42:11.619259","2018-11-02 11:42:11.619259",
255,1,255,12,"2018-11-02 11:42:11.623892","2018-11-02 11:42:11.623892",
256,1,256,4,"2018-11-02 11:42:11.628829","2018-11-02 11:42:11.628829",
257,1,257,8,"2018-11-02 11:42:11.633676","2018-11-02 11:42:11.633676",
258,1,258,6,"2018-11-02 11:42:11.638115","2018-11-02 11:42:11.638115",
259,1,259,5,"2018-11-02 11:42:11.642796","2018-11-02 11:42:11.642796",
260,1,260,3,"2018-11-02 11:42:11.647587","2018-11-02 11:42:11.647587",
261,1,261,27,"2018-11-02 11:42:11.652551","2018-11-02 11:42:11.652551",
262,1,262,3,"2018-11-02 11:42:11.657323","2018-11-02 11:42:11.657323",
263,1,263,23,"2018-11-02 11:42:11.66338","2018-11-02 11:42:11.66338",
264,1,264,19,"2018-11-02 11:42:11.668202","2018-11-02 11:42:11.668202",
265,1,265,18,"2018-11-02 11:42:11.672685","2018-11-02 11:42:11.672685",
266,1,266,8,"2018-11-02 11:42:11.677133","2018-11-02 11:42:11.677133",
267,1,267,12,"2018-11-02 11:42:11.681692","2018-11-02 11:42:11.681692",
268,1,268,5,"2018-11-02 11:42:11.686355","2018-11-02 11:42:11.686355",
269,1,269,9,"2018-11-02 11:42:11.690931","2018-11-02 11:42:11.690931",
270,1,270,15,"2018-11-02 11:42:11.696272","2018-11-02 11:42:11.696272",
271,1,271,125,"2018-11-02 11:42:11.701001","2018-11-02 11:42:11.701001",
272,1,272,41,"2018-11-02 11:42:11.705333","2018-11-02 11:42:11.705333",
273,1,273,31,"2018-11-02 11:42:11.710805","2018-11-02 11:42:11.710805",
274,1,274,6,"2018-11-02 11:42:11.715506","2018-11-02 11:42:11.715506",
275,1,275,21,"2018-11-02 11:42:11.721286","2018-11-02 11:42:11.721286",
276,1,276,25,"2018-11-02 11:42:11.725546","2018-11-02 11:42:11.725546",
277,1,277,12,"2018-11-02 11:42:11.730536","2018-11-02 11:42:11.730536",
278,1,278,12,"2018-11-02 11:42:11.73655","2018-11-02 11:42:11.73655",
279,1,279,28,"2018-11-02 11:42:11.742762","2018-11-02 11:42:11.742762",
280,1,280,23,"2018-11-02 11:42:11.748224","2018-11-02 11:42:11.748224",
281,1,281,29,"2018-11-02 11:42:11.752887","2018-11-02 11:42:11.752887",
282,1,282,7,"2018-11-02 11:42:11.758225","2018-11-02 11:42:11.758225",
283,1,283,27,"2018-11-02 11:42:11.763819","2018-11-02 11:42:11.763819",
284,1,284,70,"2018-11-02 11:42:11.769338","2018-11-02 11:42:11.769338",
285,1,285,27,"2018-11-02 11:42:11.774346","2018-11-02 11:42:11.774346",
286,1,286,35,"2018-11-02 11:42:11.779084","2018-11-02 11:42:11.779084",
287,1,287,4,"2018-11-02 11:42:11.783477","2018-11-02 11:42:11.783477",
288,1,288,2,"2018-11-02 11:42:11.787744","2018-11-02 11:42:11.787744",
289,1,289,8,"2018-11-02 11:42:11.792065","2018-11-02 11:42:11.792065",
290,1,290,4,"2018-11-02 11:42:11.796214","2018-11-02 11:42:11.796214",
291,1,291,1,"2018-11-02 11:42:11.800362","2018-11-02 11:42:11.800362",
292,1,292,40,"2018-11-02 11:42:11.804346","2018-11-02 11:42:11.804346",
293,1,293,56,"2018-11-02 11:42:11.80853","2018-11-02 11:42:11.80853",
294,1,294,18,"2018-11-02 11:42:11.812561","2018-11-02 11:42:11.812561",
295,1,295,41,"2018-11-02 11:42:11.816706","2018-11-02 11:42:11.816706",
296,1,296,6,"2018-11-02 11:42:11.820733","2018-11-02 11:42:11.820733",
297,1,297,27,"2018-11-02 11:42:11.824992","2018-11-02 11:42:11.824992",
298,1,298,18,"2018-11-02 11:42:11.829274","2018-11-02 11:42:11.829274",
299,1,299,27,"2018-11-02 11:42:11.83398","2018-11-02 11:42:11.83398",
300,1,300,5,"2018-11-02 11:42:11.838408","2018-11-02 11:42:11.838408",
301,1,301,23,"2018-11-02 11:42:11.842467","2018-11-02 11:42:11.842467",
302,1,302,12,"2018-11-02 11:42:11.846361","2018-11-02 11:42:11.846361",
303,1,303,5,"2018-11-02 11:42:11.850538","2018-11-02 11:42:11.850538",
304,1,304,33,"2018-11-02 11:42:11.854674","2018-11-02 11:42:11.854674",
305,1,305,14,"2018-11-02 11:42:11.859315","2018-11-02 11:42:11.859315",
306,1,306,11,"2018-11-02 11:42:11.863862","2018-11-02 11:42:11.863862",
307,1,307,47,"2018-11-02 11:42:11.868138","2018-11-02 11:42:11.868138",
308,1,308,12,"2018-11-02 11:42:11.87259","2018-11-02 11:42:11.87259",
309,1,309,2,"2018-11-02 11:42:11.877204","2018-11-02 11:42:11.877204",
310,1,310,82,"2018-11-02 11:42:11.882711","2018-11-02 11:42:11.882711",
311,1,311,51,"2018-11-02 11:42:11.887811","2018-11-02 11:42:11.887811",
312,1,312,12,"2018-11-02 11:42:11.892314","2018-11-02 11:42:11.892314",
313,1,313,7,"2018-11-02 11:42:11.896672","2018-11-02 11:42:11.896672",
314,1,314,19,"2018-11-02 11:42:11.901278","2018-11-02 11:42:11.901278",
315,1,315,2,"2018-11-02 11:42:11.90568","2018-11-02 11:42:11.90568",
316,1,316,2,"2018-11-02 11:42:11.910375","2018-11-02 11:42:11.910375",
317,1,317,4,"2018-11-02 11:42:11.915291","2018-11-02 11:42:11.915291",
318,1,318,47,"2018-11-02 11:42:11.919958","2018-11-02 11:42:11.919958",
319,1,319,8,"2018-11-02 11:42:11.925649","2018-11-02 11:42:11.925649",
320,1,320,9,"2018-11-02 11:42:11.931413","2018-11-02 11:42:11.931413",
321,1,321,16,"2018-11-02 11:42:11.93655","2018-11-02 11:42:11.93655",
322,1,322,21,"2018-11-02 11:42:11.941285","2018-11-02 11:42:11.941285",
323,1,323,3,"2018-11-02 11:42:11.946109","2018-11-02 11:42:11.946109",
324,1,324,5,"2018-11-02 11:42:11.950649","2018-11-02 11:42:11.950649",
325,1,325,6,"2018-11-02 11:42:11.955342","2018-11-02 11:42:11.955342",
326,1,326,4,"2018-11-02 11:42:11.959798","2018-11-02 11:42:11.959798",
327,1,327,8,"2018-11-02 11:42:11.964567","2018-11-02 11:42:11.964567",
328,1,328,13,"2018-11-02 11:42:11.969225","2018-11-02 11:42:11.969225",
329,1,329,19,"2018-11-02 11:42:11.97357","2018-11-02 11:42:11.97357",
